locationid,Applicant,FacilityType,cnn,LocationDescription,Address,blocklot,block,lot,permit,Status,FoodItems,X,Y,Latitude,Longitude,Schedule,dayshours,NOISent,Approved,Received,PriorPermit,ExpirationDate,Location,Fire Prevention Districts,Police Districts,Supervisor Districts,Zip Codes,Neighborhoods (old)
1591820,Truly Food & More,Truck,11544000,SANSOME ST: PINE ST to CALIFORNIA ST (200 - 299),217 SANSOME ST,0260004,0260,004,22MFF-00019,APPROVED,Latin Food: Tacos: Pupusas: Vegetables: Salad: Waters: Sodas,6012325.432,2116569.355,37.79238986198323,-122.40126969523558,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00019&ExportPDF=1&Filename=22MFF-00019_schedule.pdf,,,02/09/2022 12:00:00 AM,20220126,1,11/15/2022 12:00:00 AM,"(37.79238986198323, -122.40126969523558)",4,1,10,28854,6
1565413,MOMO INNOVATION LLC,Truck,3420000,BUSH ST: BATTERY ST to SANSOME ST (100 - 199),1 BUSH ST,0290011,0290,011,21MFF-00088,APPROVED,Noodles,6012652.373,2116027.943,37.79092150726921,-122.4001004237385,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00088&ExportPDF=1&Filename=21MFF-00088_schedule.pdf,,,10/22/2021 12:00:00 AM,20211022,0,11/15/2022 12:00:00 AM,"(37.79092150726921, -122.4001004237385)",4,1,10,28854,6
1565414,MOMO INNOVATION LLC,Truck,9090000,MISSION ST: SHAW ALY to ANTHONY ST (543 - 586),555 MISSION ST,3721120,3721,120,21MFF-00088,APPROVED,Noodles,6013055.64573,2115118.24153,37.78844615690132,-122.3986412420388,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00088&ExportPDF=1&Filename=21MFF-00088_schedule.pdf,,,10/22/2021 12:00:00 AM,20211022,0,11/15/2022 12:00:00 AM,"(37.78844615690132, -122.3986412420388)",12,2,9,28855,6
1565623,Treats by the Bay LLC,Truck,7034000,HOWARD ST: MALDEN ALY to 02ND ST (574 - 599),201 02ND ST,3736097,3736,097,21MFF-00091,APPROVED,Prepackaged Kettlecorn,6013265.85,2114515.053,37.78680165059711,-122.39787163500326,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00091&ExportPDF=1&Filename=21MFF-00091_schedule.pdf,,,10/22/2021 12:00:00 AM,20211022,0,11/15/2022 12:00:00 AM,"(37.78680165059711, -122.39787163500326)",6,2,9,28855,6
1591819,Truly Food & More,Truck,107000,01ST ST: HOWARD ST to TEHAMA ST (200 - 231),505 HOWARD ST,3736183,3736,183,22MFF-00019,APPROVED,Latin Food: Tacos: Pupusas: Vegetables: Salad: Waters: Sodas,6013786.26714,2114936.80369,37.78798864899528,-122.39610066847152,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00019&ExportPDF=1&Filename=22MFF-00019_schedule.pdf,,,02/09/2022 12:00:00 AM,20220126,1,11/15/2022 12:00:00 AM,"(37.78798864899528, -122.39610066847152)",6,2,9,28855,6
1585955,Bonito Poke,Truck,7165000,ILLINOIS ST: 16TH ST to MARIPOSA ST \ TERRY A FRANCOIS BLVD (400 - 599),409 ILLINOIS ST,3940003,3940,003,21MFF-00148,APPROVED,Bonito Poke Bowls & Various Drinks,6016152.96291,2106970.02895,37.76624504710292,-122.38735628651092,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00148&ExportPDF=1&Filename=21MFF-00148_schedule.pdf,,,12/23/2021 12:00:00 AM,20211223,0,11/15/2022 12:00:00 AM,"(37.76624504710292, -122.38735628651092)",14,3,9,310,20
1585964,Curry Up Now,Truck,24571000,WASHINGTON ST: DRUMM ST intersection,370 DRUMM ST,0201012,0201,012,21MFF-00149,APPROVED,Chicken Tiki Masala Burritos: Paneer Tiki Masala Burritos: Samosas: Mango Lassi,6013693.222,2118189.172,37.79691371248354,-122.39665067526364,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00149&ExportPDF=1&Filename=21MFF-00149_schedule.pdf,,,12/23/2021 12:00:00 AM,20211223,1,11/15/2022 12:00:00 AM,"(37.79691371248354, -122.39665067526364)",3,1,10,28860,6
1598473,San Pancho's Tacos,Truck,2178101,ALEMANY BLVD: SICKLES AVE to I-280 N ON RAMP \ REGENT ST \ SAN JOSE AVE (3101 - 3155) -- SOUTH --,3119 ALEMANY BLVD,7146002,7146,002,22MFF-00028,APPROVED,Tacos: Burritos: Quesadillas: Tortas: Nachos: Hot Dogs:Soda: Water: Fruit Drinks,5996113.792,2086967.583,37.71019301997575,-122.4552219061259,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00028&ExportPDF=1&Filename=22MFF-00028_schedule.pdf,,,02/23/2022 12:00:00 AM,20220223,1,11/15/2022 12:00:00 AM,"(37.71019301997575, -122.4552219061259)",9,7,6,28861,25
1571660,"San Francisco Carts & Concessions, Inc. DBA Stanley's Steamers Hot Dogs",Push Cart,6108000,GEARY ST: GRANT AVE to STOCKTON ST (100 - 199),100 GEARY ST,0309003,0309,003,21MFF-00111,APPROVED,Hot dogs: condiments: soft pretzels: soft drinks: coffee: cold beverages: pastries: bakery goods: cookies: ice cream: candy: soups: churros: chestnuts: nuts: fresh fruit: fruit juices: desserts: potato chips and popcorn.,6011136.441,2114963.525,37.7879142297241,-122.40527052309521,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00111&ExportPDF=1&Filename=21MFF-00111_schedule.pdf,,,11/22/2021 12:00:00 AM,20211112,1,11/15/2022 12:00:00 AM,"(37.7879142297241, -122.40527052309521)",5,1,10,28857,6
1589658,Zuri Food Facilities,Truck,3529000,CALIFORNIA ST: LEIDESDORFF ST to MONTGOMERY ST (449 - 499),475 CALIFORNIA ST,0260010,0260,010,22MFF-00005,APPROVED,Peruvian Food Served Hot,6012002.812,2116560.078,37.792346385148,-122.40238532279395,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00005&ExportPDF=1&Filename=22MFF-00005_schedule.pdf,,,01/13/2022 12:00:00 AM,20220113,0,11/15/2022 12:00:00 AM,"(37.792346385148, -122.40238532279395)",4,1,10,28854,6
1591833,Halal Cart of San Francisco,Push Cart,3529000,CALIFORNIA ST: LEIDESDORFF ST to MONTGOMERY ST (449 - 499),400 MONTGOMERY ST,0239009,0239,009,22MFF-00023,APPROVED,Halal Gyro over Rice: Halal Chicken over Rice: Halal Gyro: and Chicken Sandwich,6011956.214,2116853.2,37.79314862698347,-122.4025671755779,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00023&ExportPDF=1&Filename=22MFF-00023_schedule.pdf,,,07/22/2022 12:00:00 AM,20220126,0,11/15/2022 12:00:00 AM,"(37.79314862698347, -122.4025671755779)",4,1,10,28854,6
1585952,Bonito Poke,Truck,107000,01ST ST: HOWARD ST to TEHAMA ST (200 - 231),505 HOWARD ST,3736183,3736,183,21MFF-00148,APPROVED,Bonito Poke Bowls & Various Drinks,6013786.26714,2114936.80369,37.78798864899528,-122.39610066847152,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00148&ExportPDF=1&Filename=21MFF-00148_schedule.pdf,,,12/23/2021 12:00:00 AM,20211223,0,11/15/2022 12:00:00 AM,"(37.78798864899528, -122.39610066847152)",6,2,9,28855,6
1577204,"The New York Frankfurter Co. of CA, Inc. DBA: Annie's Hot Dogs",Push Cart,24892000,STOCKTON ST: 04TH ST \ ELLIS ST \ MARKET ST intersection,800 MARKET ST,0329001,0329,001,21MFF-00129,APPROVED,Soft pretzels: hot dogs: sausages: chips: popcorn: sodea: coffee: espresso: cappucino: pastries: ice cream: Italian sausages: shish-ka-bob: churros: juice: water: various drinks.,6010729.654,2114081.536,37.785469746489916,-122.40661576107294,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00129&ExportPDF=1&Filename=21MFF-00129_schedule.pdf,,,12/23/2021 12:00:00 AM,20211203,1,11/15/2022 12:00:00 AM,"(37.785469746489916, -122.40661576107294)",14,10,10,28852,6
1577206,"The New York Frankfurter Co. of CA, Inc. DBA: Annie's Hot Dogs",Push Cart,12195000,STOCKTON ST: OFARRELL ST to GEARY ST (100 - 199),101 STOCKTON ST,0314002,0314,002,21MFF-00131,APPROVED,Soft Pretzels: hot dogs: sausage: chips: popcorn: soda: espresso: cappucino: pastries: ice cream: italian sausages: shish-ka-bob: churros: juice: water: various drinks,6010660.159,2114587.863,37.786856111883054,-122.40689189299718,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00131&ExportPDF=1&Filename=21MFF-00131_schedule.pdf,,,12/23/2021 12:00:00 AM,20211203,1,11/15/2022 12:00:00 AM,"(37.786856111883054, -122.40689189299718)",5,10,10,28852,6
1585966,Curry Up Now,Truck,11553000,SANSOME ST: GOLD ST to PACIFIC AVE (705 - 799),727 SANSOME ST,0175003,0175,003,21MFF-00150,APPROVED,Indian Street Food: Tikka Masala Burritos; Samosas; Sexy Fries (Indian-inspired poutine); Naughty Naans; Deconstructed Samosas; Kathi Rolls; Lassis and Lemonades,6012095.199,2118234.464,37.79694900602121,-122.40218343189426,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00150&ExportPDF=1&Filename=21MFF-00150_schedule.pdf,,,12/23/2021 12:00:00 AM,20211223,0,11/15/2022 12:00:00 AM,"(37.79694900602121, -122.40218343189426)",3,1,10,308,4
1585967,Curry Up Now,Truck,179000,03RD ST: BRANNAN ST to TOWNSEND ST (600 - 699),601 03RD ST,3788020,3788,020,21MFF-00150,APPROVED,Indian Street Food: Tikka Masala Burritos; Samosas; Sexy Fries (Indian-inspired poutine); Naughty Naans; Deconstructed Samosas; Kathi Rolls; Lassis and Lemonades,6014402.116,2112043.001,37.78007717443923,-122.39376729448306,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00150&ExportPDF=1&Filename=21MFF-00150_schedule.pdf,,,12/23/2021 12:00:00 AM,20211223,0,11/15/2022 12:00:00 AM,"(37.78007717443923, -122.39376729448306)",6,2,9,28856,6
1585954,Bonito Poke,Truck,7032000,HOWARD ST: FREMONT ST to 01ST ST (400 - 499),400 HOWARD ST,3720008,3720,008,21MFF-00148,APPROVED,Bonito Poke Bowls & Various Drinks,6013858.05956,2115347.09492,37.78911920766765,-122.39588103933524,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00148&ExportPDF=1&Filename=21MFF-00148_schedule.pdf,,,12/23/2021 12:00:00 AM,20211223,0,11/15/2022 12:00:00 AM,"(37.78911920766765, -122.39588103933524)",12,2,9,28855,6
1577205,"The New York Frankfurter Co. of CA, Inc. DBA: Annie's Hot Dogs",Push Cart,8747202,MARKET ST: 04TH ST \ ELLIS ST \ STOCKTON ST to POWELL ST (800 - 890) -- NORTH --,870 MARKET ST,0329005,0329,005,21MFF-00130,APPROVED,Soft pretzels: hot dogs: sausages: chips: popcorn: soda: espresso: cappucino: pastry: ica cream: ices: italian sausage: shish-ka-bob: churros: juice: water: various drinks,6010493.859,2113955.658,37.78511092044776,-122.40742266827704,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00130&ExportPDF=1&Filename=21MFF-00130_schedule.pdf,,,12/23/2021 12:00:00 AM,20211203,1,11/15/2022 12:00:00 AM,"(37.78511092044776, -122.40742266827704)",14,10,10,28852,6
1585965,Curry Up Now,Truck,3422000,,225 BUSH ST,0289001,0289,001,21MFF-00149,APPROVED,Chicken Tiki Masala Burritos: Paneer Tiki Masala Burritos: Samosas: Mango Lassi,6012345.54,2116003.915,37.79083841945172,-122.40116037029892,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00149&ExportPDF=1&Filename=21MFF-00149_schedule.pdf,,,12/23/2021 12:00:00 AM,20211223,1,11/15/2022 12:00:00 AM,"(37.79083841945172, -122.40116037029892)",4,1,10,28854,6
1585953,Bonito Poke,Truck,3528000,CALIFORNIA ST: SANSOME ST to LEIDESDORFF ST (400 - 448),430 CALIFORNIA ST,0239029,0239,029,21MFF-00148,APPROVED,Bonito Poke Bowls & Various Drinks,6012181.836,2116889.979,37.793262206923096,-122.4017890913628,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00148&ExportPDF=1&Filename=21MFF-00148_schedule.pdf,,,12/23/2021 12:00:00 AM,20211223,0,11/15/2022 12:00:00 AM,"(37.793262206923096, -122.4017890913628)",4,1,10,28854,6
1589659,Zuri Food Facilities,Truck,12045000,SPEAR ST: MISSION ST to HOWARD ST (100 - 199),100 SPEAR ST,3717001,3717,001,22MFF-00006,APPROVED,Peruvian Food Served Hot,6014423.85,2116439.642,37.792150548481686,-122.39399997405945,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00006&ExportPDF=1&Filename=22MFF-00006_schedule.pdf,,,01/13/2022 12:00:00 AM,20220113,0,11/15/2022 12:00:00 AM,"(37.792150548481686, -122.39399997405945)",12,2,9,28855,6
1589647,Philz Coffee Truck,Truck,12323000,SUTTER ST: POWELL ST to MASON ST (500 - 599),556 SUTTER ST,0284009,0284,009,22MFF-00001,APPROVED,Hot coffee: iced coffee: hot chocolate: tea: pastries,6009899.062,2115524.564,37.789385451039095,-122.4095912604668,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00001&ExportPDF=1&Filename=22MFF-00001_schedule.pdf,,,01/13/2022 12:00:00 AM,20220113,0,11/15/2022 12:00:00 AM,"(37.789385451039095, -122.4095912604668)",5,1,10,28857,21
1589657,Zuri Food Facilities,Truck,141000,02ND ST: STILLMAN ST to BRYANT ST (454 - 499),490 02ND ST,3763007,3763,007,22MFF-00004,APPROVED,Peruvian Food Served Hot,6014337.512,2113125.58,37.783046099749996,-122.39406659922962,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00004&ExportPDF=1&Filename=22MFF-00004_schedule.pdf,,,01/13/2022 12:00:00 AM,20220113,0,11/15/2022 12:00:00 AM,"(37.783046099749996, -122.39406659922962)",6,2,9,28856,6
1589648,Philz Coffee Truck,Truck,3528000,CALIFORNIA ST: SANSOME ST to LEIDESDORFF ST (400 - 448),401 CALIFORNIA ST,0260001,0260,001,22MFF-00001,APPROVED,Hot coffee: iced coffee: hot chocolate: tea: pastries,6012304.287,2116717.605,37.79279574157871,-122.40135328093122,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00001&ExportPDF=1&Filename=22MFF-00001_schedule.pdf,,,01/13/2022 12:00:00 AM,20220113,0,11/15/2022 12:00:00 AM,"(37.79279574157871, -122.40135328093122)",4,1,10,28854,6
1598475,San Pancho's Tacos,Truck,3670000,CAPITOL AVE: DE MONTFORT AVE to OCEAN AVE (1200 - 1299),1271 CAPITOL AVE,6935001,6935,001,22MFF-00028,APPROVED,Tacos: Burritos: Quesadillas: Tortas: Nachos: Hot Dogs:Soda: Water: Fruit Drinks,5995019.526,2092127.388,37.724297778527635,-122.45937730954839,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00028&ExportPDF=1&Filename=22MFF-00028_schedule.pdf,,,02/23/2022 12:00:00 AM,20220223,1,11/15/2022 12:00:00 AM,"(37.724297778527635, -122.45937730954839)",9,8,4,28861,24
1598474,San Pancho's Tacos,Truck,2801101,BAY SHORE BLVD: CORTLAND AVE to WATERLOO ST (491 - 499) -- EAST --,491 BAY SHORE BLVD,5598008,5598,008,22MFF-00028,APPROVED,Tacos: Burritos: Quesadillas: Tortas: Nachos: Hot Dogs:Soda: Water: Fruit Drinks,,,0,0,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00028&ExportPDF=1&Filename=22MFF-00028_schedule.pdf,,,02/23/2022 12:00:00 AM,20220223,1,11/15/2022 12:00:00 AM,"(0.0, 0.0)",,,,,
1591808,"Halal Cart, LLC",Push Cart,9301000,MONTGOMERY ST: CALIFORNIA ST to SACRAMENTO ST (400 - 499),400 MONTGOMERY ST,0239009,0239,009,22MFF-00015,APPROVED,kebabs: halal gyro: grilled halal meat: refreshments,6011956.214,2116853.2,37.79314862698347,-122.4025671755779,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00015&ExportPDF=1&Filename=22MFF-00015_schedule.pdf,,,07/22/2022 12:00:00 AM,20220126,0,11/15/2022 12:00:00 AM,"(37.79314862698347, -122.4025671755779)",4,1,10,28854,6
1591807,"Halal Cart, LLC",Push Cart,8737101,MARKET ST: STEUART ST to SPEAR ST (1 - 99) -- SOUTH --,1 MARKET ST,3713006,3713,006,22MFF-00015,APPROVED,kebabs: halal gyro: grilled halal meat: refreshments,6014186.566,2117071.214,37.793871507150634,-122.39486523862108,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00015&ExportPDF=1&Filename=22MFF-00015_schedule.pdf,,,07/22/2022 12:00:00 AM,20220126,0,11/15/2022 12:00:00 AM,"(37.793871507150634, -122.39486523862108)",12,2,9,28855,6
1591834,Halal Cart of San Francisco,Push Cart,8737101,MARKET ST: STEUART ST to SPEAR ST (1 - 99) -- SOUTH --,1 MARKET ST,3713006,3713,006,22MFF-00023,APPROVED,Halal Gyro over Rice: Halal Chicken over Rice: Halal Gyro: and Chicken Sandwich,6014186.566,2117071.214,37.793871507150634,-122.39486523862108,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00023&ExportPDF=1&Filename=22MFF-00023_schedule.pdf,,,07/22/2022 12:00:00 AM,20220126,0,11/15/2022 12:00:00 AM,"(37.793871507150634, -122.39486523862108)",12,2,9,28855,6
1591809,"Halal Cart, LLC",Push Cart,8741101,MARKET ST: FREMONT ST \ FRONT ST to 01ST ST \ BUSH ST (401 - 499) -- SOUTH --,455 MARKET ST,3709012,3709,012,22MFF-00016,APPROVED,Gyros: Kebabs: soft drinks: and water,6013076.33,2116028.637,37.79094704192342,-122.39863358940373,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00016&ExportPDF=1&Filename=22MFF-00016_schedule.pdf,,,07/22/2022 12:00:00 AM,20220126,0,11/15/2022 12:00:00 AM,"(37.79094704192342, -122.39863358940373)",12,2,9,28855,6
1587393,Truly Food & More,Truck,6148201,GENEVA AVE: PRAGUE ST to LINDA VISTA STPS (1500 - 1598) -- SOUTH --,1500 GENEVA AVE,6418065,6418,065,21MFF-00151,REQUESTED,Latin Food: Tacos: Pupusas: Vegetables: Salad: Water: Sodas,6002948.585,2087593.93,37.712302604744416,-122.43164419037294,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00151&ExportPDF=1&Filename=21MFF-00151_schedule.pdf,,,,20211229,0,11/15/2022 12:00:00 AM,"(37.712302604744416, -122.43164419037294)",9,7,6,28861,5
1587558,Brazuca Grill,Truck,489000,10TH ST: SHERIDAN ST to HARRISON ST (350 - 399),380 10TH ST,3520087,3520,087,21MFF-00154,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6009126.43864,2109082.53651,37.77165385136786,-122.41180906852375,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00154&ExportPDF=1&Filename=21MFF-00154_schedule.pdf,,,12/30/2021 12:00:00 AM,20211230,1,11/15/2022 12:00:00 AM,"(37.77165385136786, -122.41180906852375)",8,2,9,28853,34
1621287,Street Meet,Truck,13057001,VALENCIA ST: 14TH ST to ROSA PARKS LN (300 - 337),306 VALENCIA ST,3546001,3546,001,22MFF-00033,REQUESTED,Burritos: Tacos: Tortas: Quesadillas & Various Drinks.,6006013.135,2107762.89,37.767855269354264,-122.42248440416165,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00033&ExportPDF=1&Filename=22MFF-00033_schedule.pdf,,,09/06/2019 12:00:00 AM,20220602,0,01/15/2021 12:00:00 AM,"(37.767855269354264, -122.42248440416165)",8,4,5,28853,19
